original,translation
1 eye,.
1 horn,.
2 fingers,.
2 heads,.
2 horns,.
2 missing limbs,.
2 panel comic,
2 penises,
2 tails,.
2 toes,.
2koma,
3 claws,.
3 eyes,.
3 fingers,.
3 heads,.
3 horns,.
3 panel comic,
3 penises,.
3 tails,.
3 toes,.
3d (artwork),3d
3d background,.
4 arms,.
4 balls,.
4 breasts,.
4 claws,.
4 ears,.
4 eyes,.
4 fingers,.
4 horns,.
4 legs,.
4 missing limbs,.
4 panel comic,
4 pecs,.
4 toes,.
4 wings,.
4koma,
4th of july,.
5 eyes,.
5 fingers,.
5 toes,.
69 position,
6 arms,.
6 breasts,.
6 eyes,.
6 legs,.
6 nipples,.
80's theme,.
8 breasts,.
8 nipples,.
9 tails,.
:3,
:<,
:d,
:o,
>:3,
> <,
?!,interrobang
? face,.
^ ^,.
aardvark,.
aardwolf,.
abdominal bulge,
abs,
absol,.
absolute territory,.
absolutely everyone,.
absorption vore,.
abstract art,
abstract background,
abuse,
accessory,.
accident,.
accidental exposure,
accipitrid,.
accipitriform,.
acorn,.
action pose,
adolescent,.
adolescent on adolescent,.
advertisement,.
afghan hound,.
african wild dog,.
afro,
afrosoricid,.
after anal,.
after anal penetration,.
after fellatio,.
after kiss,.
after masturbation,.
after oral,.
after orgasm,.
after rape,.
after sex,.
after transformation,.
after vaginal,.
after vaginal penetration,.
after vore,.
afterglow,.
afterimage,.
against fence,
against furniture,
against natural surface,.
against surface,
against tree,
against wall,
agamid,.
age difference,.
age progression,.
age regression,.
aged down,.
aged up,.
ageplay,.
aggron,.
agumon,.
ahegao,
ahoge,
ailurid,.
air bubble,
air creature,.
air inflation,.
airborne object,.
aircraft,
aircraft humanoid,
airplane,
akita,.
alarm clock,.
alaskan malamute,.
albino,.
album cover,.
alcohol,
aliasing,.
alien,.
alien humanoid,.
all fours,
all the way through,
all three filled,
alley,
alligator,
alligatorid,.
allosaurid,.
allosaurus,.
almost fully inside,.
aloha shirt,.
alolan form,.
alolan meowth,.
alolan ninetales,.
alolan raichu,.
alolan vulpix,.
alpaca,
alpha channel,.
alpha pokemon,.
altered forme giratina,.
alternate color,.
alternate costume,.
alternate form,.
alternate hairstyle,.
alternate species,.
alternate universe,.
alternating focus,.
alternative fashion,.
amazing background,.
amazon position,
amber eyes,.
ambient arthropod,.
ambient bird,.
ambient butterfly,.
ambient firefly,.
ambient fish,.
ambient flier,.
ambient insect,.
ambient sealife,.
ambient silhouette,.
ambiguous/ambiguous,.
ambiguous anthro,anthro
ambiguous feral,pony
ambiguous fluids,.
ambiguous focus,.
ambiguous form,.
ambiguous gender,.
ambiguous on human,.
ambiguous penetrated,.
ambiguous penetrating,.
ambiguous penetration,.
ambiguous pov,pov
ambiguous pred,.
ambiguous prey,.
american black bear,bear
american flag,
american flag bikini,
american football,.
american opossum,.
ammunition,.
amniotic fluid,.
amped toxtricity,.
ampharos,.
amphibian,.
amphibian humanoid,.
amputee,
amur carp,.
amusement park,.
amusement ride,.
anal,
anal bead pull,
anal beads,
anal beads in ass,.
anal fingering,
anal fisting,
anal hair,.
anal juice,.
anal knotting,.
anal masturbation,
anal only,.
anal orgasm,.
anal penetration,
anal piercing,
anal prolapse,
anal request,.
anal threading,.
anal tugging,.
anal vore,.
anatid,.
anatomically correct,.
anatomically correct anus,.
anatomically correct genitalia,.
anatomically correct penis,.
anatomically correct pussy,.
anatomically inaccurate,.
ancient art,.
ancient pokemon,.
android,
andromorph,.
andromorph/gynomorph,.
andromorph/male,.
andromorph penetrated,.
angel,.
angel dragon,.
angel humanoid,.
angoramon,.
angry,
angry sex,
animal dildo,.
animal ears,.
animal genitalia,.
animal genitalia on humanoid,.
animal head,.
animal humanoid,.
animal legs,.
animal mask,.
animal noises,.
animal penis,.
animal print,.
animal print bikini,
animal pussy,.
animal sex toy,.
animal skin,.
animal tail,.
animate inanimate,.
animated skeleton,.
animatronic,.
anime nosebleed,nosebleed
anisodactyl,.
ankh,
ankle cuffs,
ankle grab,
ankle strap heels,
ankle tuft,.
ankles tied,
anklet,
annelid,.
announcing orgasm,.
annoyed,
anseriform,.
anserinae,.
ant,.
anteater,.
antelope,.
antenna hair,.
antennae (anatomy),.
anterior nasal aperture,.
anthozoan,.
anthrosquash,.
anthro dominating human,.
anthro fingered,.
anthro fingering,.
anthro fingering anthro,.
anthro focus,.
anthro on anthro,.
anthro on bottom,.
anthro on feral,anthro on pony action
anthro on taur,.
anthro on top,.
anthro penetrated,.
anthro penetrating,.
anthro penetrating anthro,.
anthro penetrating female,.
anthro penetrating feral,anthro on pony action
anthro penetrating human,anthro on human action
anthro penetrating humanoid,anthro on human action
anthro penetrating male,.
anthro pov,pov
anthro pred,.
anthro prey,.
anthrofied,anthro
antler grab,.
antlers,
anubian jackal,.
anus,
anus focus,.
anus lick,analingus
anus only,.
anus outline,
anvil position,
apartment,.
ape,.
apex build koraidon,.
aphrodisiac,.
apode,.
apology,.
apple,
appliance,.
apron,
apron only,naked apron
aquarium,.
aquatic dragon,.
aquatic gastropod,.
aquilops,.
arachnid,.
arachnid humanoid,.
arachnid taur,.
arbok,.
arcade,.
arcanine,.
arceus,.
arch position,
arched back,
arctic fox,.
arctic wolf,.
arena,
areola,
areola slip,
argonian,.
argument,.
arm above head,
arm around neck,
arm around shoulders,
arm by side,.
arm feathers,.
arm fins,.
arm grab,.
arm hair,.
arm markings,.
arm pull,.
arm scar,.
arm spikes,.
arm support,.
arm tattoo,.
arm tuft,.
arm under breasts,.
arm warmers,
arm wraps,
armadillo,.
armband,
armbinder,.
armchair,.
armless,
armlet,.
armor,
armpit fetish,.
armpit hair,.
armpit lick,
armpit play,.
armpit sniffing,.
armpit tuft,.
arms above head,
arms bent,.
arms by side,.
arms in front,.
arms tied,
arms together,.
armwear,.
armwear only,.
army,
aroused,
aroused face,.
aroused smile,.
arrow (weapon),
arrow sign,.
art nouveau,.
arthropod,.
arthropod abdomen,.
arthropod abdomen genitalia,.
arthropod abdomen pussy,.
arthropod humanoid,.
arthropod taur,.
arthropod webbing,.
articuno,.
artificial intelligence,.
artist logo,.
artist name,.
arwing,.
asari,.
ascot,.
asian clothing,.
asinus,.
ask blog,.
asking,.
asking another,.
asking how,.
asking to stop,.
asking viewer,.
asking what,.
asking why,.
asphyxiation,
ass clapping,
ass on glass,
ass to ass,
ass to mouth,
ass up,
assault rifle,
assertive female,.
assimilation,.
assisted exposure,
assisted sex,.
asterozoan,.
asura,.
asymmetrical breast frottage,.
athletic,
athletic anthro,.
athletic female,
athletic gynomorph,.
athletic humanoid,.
athletic intersex,.
athletic male,
athletic wear,.
attack,.
attribute theft,.
au ra,.
auburn hair,.
auction,.
audience,
audino,.
aura,
aurora (phenomenon),.
australian cattle dog,.
australian shepherd,.
auto penis lick,autofellatio
autocunnilingus,
autofellatio,
autofellatio while penetrated,.
autofootjob,
autopenetration,.
autotitfuck,.
autumn,.
avali,.
avian,.
avian butt,.
avian caruncle,.
avian demon,.
avian feet,.
avian humanoid,.
award,.
awkward,.
axe,
axolotl,.
baby,.
baby bottle,
babydoll,.
babysitter,.
back-print panties,.
back-tie bikini,
back-tie clothing,
back-tie swimwear,.
back boob,.
back groove,.
back markings,.
back muscles,.
back rolls,.
back spikes,.
back spines,.
back tattoo,.
back tentacles,.
back to back,.
back tuft,.
back wings,.
backless clothing,.
backless dress,
backless swimsuit,
backlighting,
backpack,
backsack,.
backward arm support,.
backwards baseball cap,
backwards hat,.
bad end,.
bad parenting,.
badge,.
badger,.
bag,
balancing,
balcony,
bald,
bald crotch,.
bald eagle,.
ball,
ball bra,.
ball bulge,bulge
ball fondling,
ball gag,
ball grab,
ball inflation,.
ball lick,
ball of yarn,
ball ring,.
ball size difference,.
ball slap,.
ball sniffing,.
ball squeeze,.
ball squish,.
ball stretcher,.
ball suck,
ball tuft,.
ball worship,.
ballbusting,
ballet,
balljob,.
balloon,
balloon support,.
balls,
balls above penis,.
balls blush,.
balls deep,
balls expansion,.
balls in underwear,.
balls on face,
balls on ground,.
balls outline,
balls touching,.
bamboo,.
bamfear,.
banana,
band-aid,
band-aid on face,
band-aid on nose,
band merch,.
bandage,
bandage on face,
bandage on nose,
bandaged arm,
bandaged leg,
bandanna,
bandanna only,.
bandeau,.
bandicoot,.
bandolier,
banette,.
bangle,.
bangs,.
banknote,.
banner,
bar,
bar emanata,.
bar stool,
barazoku,.
barbarian,
barbed humanoid penis,barbed penis
barbel (anatomy),.
barbell,
barbell piercing,
barcode,.
barcode tattoo,.
bare back,.
bare breasts,.
bare chest,.
bare legs,.
bare shoulders,.
bareback,.
bared teeth,
barefoot,
barely contained,
barely contained penis,
barely visible anus,.
barely visible balls,.
barely visible breasts,.
barely visible genitalia,.
barely visible nipples,.
barely visible penis,.
barely visible pussy,.
barn,
barn owl,.
barrel,
bars,.
bartender,.
baryonyx,.
base four layout,.
base one layout,.
base three layout,.
base two layout,.
baseball (ball),
baseball bat,
baseball cap,
baseball uniform,
basement,
bashful,
basic sequence,.
basitin,.
basket,
basketball,
basketball (ball),
basketball uniform,
bass guitar,
bassariscus,.
basset hound,.
bat,
bat (object),
bat ears,.
bat humanoid,.
bat nose,.
bat pony,
bat wings,
bath,
bathhouse,.
bathing,
bathrobe,
bathroom,
bathtub,
battle,
battle axe,
bayleef,.
bdsm,
bdsm gear,
beach,
beach ball,
beach chair,
beach towel,
beach umbrella,
beaded jewelry,.
beaded necklace,.
beads,
beady eyes,
beagle,.
beak,.
beak fetish,.
beak play,.
beak sex,.
beakjob,
beakless,.
bean bag,
beanie,
bear,
beard,
bearded vulture,.
beaver,.
beckoning,
becoming erect,.
bed,
bed bondage,
bed covers,
